                                         STRUCTURE OUTFLOW DISCHARGE
  INFLOW AND OUTFLOW DISCHARGE MAY BE DIFFERENT IF STRUCTURE IS A LONG CULVERT OR IF OUTFLOW COMBINES MULTIPLE CULVERTS
                                   OUTFLOW DISCHARGE IS REPORTED AS NEGATIVE

     FLOODPLAIN GRID ELEMENTS     TIME (HRS)               DISCHARGE (CFS OR CMS)

 THE MAXIMUM DISCHARGE FOR: Grnway1         STRUCTURE NO.        1 IS:        84.52  AT TIME:     4.60
                                        INFLOW NODE:     35372 AND OUTFLOW NODE:     34515
                                     3.70             319.04                   -319.04
                                     3.80             331.85                   -331.85
                                     3.90             345.65                   -345.65
                                     4.00             358.67                   -358.67
                                     4.10             371.74                   -371.74
                                     4.20             383.86                   -383.86
                                     4.30             395.34                   -395.34
                                     4.40             404.96                   -404.96
                                     4.50             413.25                   -413.25
                                     4.60             420.16                   -420.16
                                     4.70             425.76                   -425.76
                                     4.80             431.15                   -431.15
                                     4.90             436.38                   -436.38
                                     5.00             441.75                   -441.75
                                     5.10             447.40                   -447.40
                                     5.20             452.42                   -452.42
                                     5.30             456.70                   -456.70
                                     5.40             460.52                   -460.52
                                     5.50             464.12                   -464.12
                                     5.60             467.15                   -467.15
                                     5.70             469.53                   -469.53
                                     5.80             471.58                   -471.58
                                     5.90             473.35                   -473.35
                                     6.00             474.84                   -474.84
                                     6.10             476.09                   -476.09
                                     6.20             477.06                   -477.06
                                     6.30             477.94                   -477.94

 THE MAXIMUM DISCHARGE FOR: CULV_069        STRUCTURE NO.        4 IS:        82.66  AT TIME:     4.80
                                        INFLOW NODE:      1643 AND OUTFLOW NODE:      1318
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.06                     -0.06
                                     2.00               0.07                     -0.07
                                     2.10               0.07                     -0.07
                                     2.20               0.07                     -0.07
                                     2.30               0.07                     -0.07
                                     2.40               0.08                     -0.08
                                     2.50               0.08                     -0.08
                                     2.60               0.09                     -0.09
                                     2.70               0.10                     -0.10
                                     2.80               0.11                     -0.11
                                     2.90               0.13                     -0.13
                                     3.00               0.16                     -0.16
                                     3.10               0.23                     -0.23
                                     3.20               0.34                     -0.34
                                     3.30               0.49                     -0.49
                                     3.40               0.76                     -0.76
                                     3.50               1.04                     -1.04
                                     3.60               1.46                     -1.46
                                     3.70               2.34                     -2.34
                                     3.80               3.20                     -3.20
                                     3.90               4.19                     -4.19
                                     4.00               5.54                     -5.54
                                     4.10              10.02                    -10.02
                                     4.20              19.16                    -19.16
                                     4.30              27.00                    -27.00
                                     4.40              29.34                    -29.34
                                     4.50              42.26                    -42.26
                                     4.60              69.30                    -69.30
                                     4.70              79.42                    -79.42
                                     4.80              82.66                    -82.66
                                     4.90              81.79                    -81.79
                                     5.00              79.63                    -79.63
                                     5.10              76.84                    -76.84
                                     5.20              72.80                    -72.80
                                     5.30              69.48                    -69.48
                                     5.40              64.91                    -64.91
                                     5.50              61.07                    -61.07
                                     5.60              58.64                    -58.64
                                     5.70              56.43                    -56.43
                                     5.80              53.60                    -53.60
                                     5.90              50.17                    -50.17
                                     6.00              45.90                    -45.90
                                     6.10              42.75                    -42.75
                                     6.20              40.12                    -40.12
                                     6.30              38.14                    -38.14

 THE MAXIMUM DISCHARGE FOR: CULV_070        STRUCTURE NO.        5 IS:        39.37  AT TIME:     4.50
                                        INFLOW NODE:     18191 AND OUTFLOW NODE:     18199
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.04                     -0.04
                                     3.30               0.19                     -0.19
                                     3.40               0.34                     -0.34
                                     3.50               0.46                     -0.46
                                     3.60               0.69                     -0.69
                                     3.70               1.06                     -1.06
                                     3.80               2.10                     -2.10
                                     3.90               3.64                     -3.64
                                     4.00               6.45                     -6.45
                                     4.10              10.98                    -10.98
                                     4.20              15.52                    -15.52
                                     4.30              28.21                    -28.21
                                     4.40              36.34                    -36.34
                                     4.50              39.37                    -39.37
                                     4.60              38.28                    -38.28
                                     4.70              36.11                    -36.11
                                     4.80              33.39                    -33.39
                                     4.90              30.86                    -30.86
                                     5.00              28.41                    -28.41
                                     5.10              26.06                    -26.06
                                     5.20              23.26                    -23.26
                                     5.30              20.87                    -20.87
                                     5.40              20.77                    -20.77
