  OUTFALL DISCHARGE TO FLO-2D

GRID ELEMENT:      34301        CHANNEL ELEMENT:         86
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          6.300            1.200

GRID ELEMENT:       9865        CHANNEL ELEMENT:        211
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.000
          0.200            0.000
          0.300            0.000
          0.400            0.000
          0.500            0.000
          0.600            0.000
          0.700            0.000
          0.800            0.000
          0.900            0.002
          1.000            0.003
          1.100            0.003
          1.200            0.003
          1.300            0.003
          1.400            0.002
          1.500            0.002
          1.600            0.003
          1.700            0.003
          1.800            0.003
          1.900            0.004
          2.000            0.005
          2.100            0.005
          2.200            0.005
          2.300            0.006
          2.400            0.007
          2.500            0.007
          2.600            0.009
          2.700            0.010
          2.800            0.012
          2.900            0.015
          3.000            0.016
          3.100            0.029
          3.200            0.039
          3.300            0.054
          3.400            0.082
          3.500            0.103
          3.600            0.184
          3.700            0.258
          3.800            0.355
          3.900            0.516
          4.000            0.812
          4.100            1.200
          4.200            1.200
          4.300            1.200
          4.400            1.200
          4.500            1.200
          4.600            1.200
          4.700            1.200
          4.800            1.200
          4.900            1.200
          5.000            1.200
          5.100            1.200
          5.200            1.200
          5.300            1.200
          5.400            1.200
          5.500            1.200
          5.600            1.200
          5.700            1.200
          5.800            1.200
          5.900            1.200
          6.000            1.200
          6.100            1.200
          6.200            1.200
          6.300            1.200

GRID ELEMENT:      18019        CHANNEL ELEMENT:        168
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.000
          0.200            0.000
          0.300            0.000
          0.400            0.000
          0.500            0.000
          0.600            0.000
          0.700            0.000
          0.800            0.000
          0.900            0.003
          1.000            0.012
          1.100            0.014
          1.200            0.016
          1.300            0.018
          1.400            0.019
          1.500            0.019
          1.600            0.020
          1.700            0.020
          1.800            0.021
          1.900            0.022
          2.000            0.023
          2.100            0.023
          2.200            0.023
          2.300            0.024
          2.400            0.025
          2.500            0.026
          2.600            0.027
          2.700            0.028
          2.800            0.030
          2.900            0.035
          3.000            0.038
          3.100            0.057
          3.200            0.073
          3.300            0.097
          3.400            0.133
          3.500            0.154
          3.600            0.260
          3.700            0.321
          3.800            0.366
          3.900            0.405
          4.000            0.420
          4.100            0.337
          4.200            0.301
          4.300            0.257
          4.400            0.213
          4.500            0.202
          4.600            0.173
          4.700            0.150
          4.800            0.130
          4.900            0.111
          5.000            0.099
          5.100            0.076
          5.200            0.061
          5.300            0.051
          5.400            0.045
          5.500            0.041
          5.600            0.040
          5.700            0.039
          5.800            0.037
          5.900            0.036
          6.000            0.035
          6.100            0.027
          6.200            0.017
          6.300            0.012

GRID ELEMENT:      16771        CHANNEL ELEMENT:        172
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.000
          0.200            0.000
          0.300            0.000
          0.400            0.000
          0.500            0.000
          0.600            0.000
          0.700            0.000
          0.800            0.000
          0.900            0.000
          1.000            0.000
          1.100            0.000
          1.200            0.000
          1.300            0.002
          1.400            0.005
          1.500            0.009
          1.600            0.015
          1.700            0.022
          1.800            0.029
          1.900            0.036
          2.000            0.045
          2.100            0.056
          2.200            0.067
          2.300            0.079
          2.400            0.090
          2.500            0.120
          2.600            0.095
          2.700            0.131
          2.800            0.204
          2.900            0.297
          3.000            0.277
          3.100            0.422
          3.200            0.911
          3.300            0.818
          3.400            0.896
          3.500            1.089
          3.600            1.200
          3.700            1.200
          3.800            1.072
          3.900            1.099
          4.000            1.180
          4.100            1.140
          4.200            1.158
          4.300            1.200
          4.400            1.120
          4.500            1.177
          4.600            1.197
          4.700            1.186
          4.800            1.186
          4.900            1.187
          5.000            1.186
          5.100            1.182
          5.200            1.178
          5.300            1.167
          5.400            1.190
          5.500            1.182
          5.600            1.190
          5.700            1.188
          5.800            1.186
          5.900            1.187
          6.000            1.200
          6.100            1.182
          6.200            1.195
          6.300            1.180

GRID ELEMENT:      16949        CHANNEL ELEMENT:        171
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.000
          0.200            0.000
          0.300            0.000
          0.400            0.000
          0.500            0.000
          0.600            0.000
          0.700            0.000
          0.800            0.001
          0.900            0.004
          1.000            0.007
          1.100            0.012
          1.200            0.020
          1.300            0.032
          1.400            0.047
          1.500            0.069
          1.600            0.099
          1.700            0.128
          1.800            0.155
          1.900            0.187
          2.000            0.224
          2.100            0.267
          2.200            0.314
          2.300            0.362
          2.400            0.408
          2.500            0.452
          2.600            0.507
          2.700            0.571
          2.800            0.645
          2.900            0.860
          3.000            0.822
          3.100            0.522
          3.200            0.623
          3.300            1.152
          3.400            1.729
          3.500            2.531
          3.600            5.258
          3.700            5.547
          3.800            5.465
          3.900            4.907
          4.000            6.117
          4.100            5.213
          4.200            5.439
          4.300            5.796
          4.400            5.240
          4.500            5.378
          4.600            5.542
          4.700            5.497
          4.800            5.627
          4.900            5.922
          5.000            5.779
          5.100            5.870
          5.200            5.906
          5.300            5.468
          5.400            5.919
          5.500            5.945
          5.600            6.020
          5.700            5.888
          5.800            5.907
          5.900            5.846
          6.000            6.220
          6.100            5.902
          6.200            5.972
          6.300            6.427

GRID ELEMENT:      25404        CHANNEL ELEMENT:        129
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.000
          0.200            0.000
          0.300            0.000
          0.400            0.000
          0.500            0.000
          0.600            0.000
          0.700            0.000
          0.800            0.000
          0.900            0.000
          1.000            0.000
          1.100            0.000
          1.200            0.001
          1.300            0.001
